Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,EV,BsR,f-Off,Def,fWAR,playerid
MitchMoreland,Red Sox,91,335,19,48,58,1,10.10%,22.10%,0.255,0.271,0.252,0.328,0.507,0.347,112,90.8,-2.1,3.2,-8,0.7,3086
JoeyVotto,Reds,142,608,15,79,47,5,12.50%,20.20%,0.15,0.313,0.261,0.357,0.411,0.332,101,88.9,-3.9,-3.3,-9.4,0.7,4314
MichaelChavis,Red Sox,95,382,18,46,58,2,8.10%,33.20%,0.19,0.347,0.254,0.322,0.444,0.323,96,88.8,-2.3,-4.2,-2.4,0.7,17321
DustinGarneau,- - -,35,101,3,14,14,0,9.90%,21.80%,0.163,0.295,0.244,0.35,0.407,0.33,108,84.5,-1.4,-0.4,3.7,0.7,9433
MikeBrosseau,Rays,51,142,6,17,16,1,4.90%,27.50%,0.189,0.345,0.273,0.319,0.462,0.329,108,86.5,1.2,2.7,-1,0.7,19683
SeanMurphy,Athletics,20,60,4,14,8,0,10.00%,26.70%,0.321,0.273,0.245,0.333,0.566,0.37,135,90.7,0.6,3.3,1.2,0.6,19352
KurtSuzuki,Nationals,85,309,17,37,63,0,6.50%,11.70%,0.221,0.248,0.264,0.324,0.486,0.337,104,86,-0.5,1.3,-4.9,0.6,8259
JordyMercer,Tigers,74,271,9,24,22,0,4.80%,21.00%,0.168,0.316,0.27,0.31,0.438,0.314,94,86.9,0.3,-1.9,-1.2,0.6,6547
JacobdeGrom,Mets,33,70,2,4,6,0,5.70%,27.10%,0.123,0.25,0.2,0.246,0.323,0.245,52,85.2,0,-4.5,8.6,0.6,10954
PhillipErvin,Reds,94,260,7,30,23,4,6.90%,24.20%,0.195,0.339,0.271,0.331,0.466,0.334,102,85,0.4,1.2,-3.4,0.6,14738
EhireAdrianza,Twins,84,236,5,34,22,0,8.50%,16.90%,0.144,0.311,0.272,0.349,0.416,0.326,102,86.4,0,0.5,-2.7,0.6,8418
TerranceGore,Royals,37,58,0,13,1,13,10.30%,31.00%,0.078,0.424,0.275,0.362,0.353,0.317,95,83.5,1.6,1.2,2.9,0.6,13658
RyanMcMahon,Rockies,141,539,24,70,83,5,10.40%,29.70%,0.2,0.323,0.25,0.329,0.45,0.33,88,91.9,0.1,-8.8,-2.6,0.6,15112
MattBeaty,Dodgers,99,268,9,36,46,5,6.30%,12.30%,0.193,0.275,0.265,0.317,0.458,0.324,102,89.4,0.1,0.8,-3.4,0.6,17710
JayBruce,- - -,98,333,26,43,59,1,5.70%,24.60%,0.306,0.2,0.216,0.261,0.523,0.318,98,90.2,-0.4,-1.5,-3.9,0.6,9892
TrentGrisham,Brewers,51,183,6,24,24,1,10.90%,26.20%,0.179,0.286,0.231,0.328,0.41,0.316,92,87.6,0.7,-1.3,1.3,0.6,18564
ZackWheeler,Mets,31,64,1,5,6,0,3.10%,29.70%,0.088,0.297,0.211,0.262,0.298,0.246,53,78.6,0,-4,7.9,0.6,10310
AbrahamAlmonte,Diamondbacks,17,38,1,11,4,0,18.40%,21.10%,0.258,0.364,0.29,0.421,0.548,0.406,151,89.7,1.5,4,0.6,0.6,5486
RenatoNunez,Orioles,151,599,31,72,90,1,7.30%,23.90%,0.216,0.272,0.244,0.311,0.46,0.323,99,89.9,0.3,-0.7,-14.7,0.6,14503
JoeyWendle,Rays,75,263,3,32,19,8,5.30%,17.90%,0.109,0.272,0.231,0.293,0.34,0.275,71,87.4,1.6,-8,4.5,0.6,13853
StephenPiscotty,Athletics,93,393,13,46,44,2,7.40%,21.40%,0.162,0.289,0.249,0.309,0.412,0.306,93,89.2,0.7,-3,-5.2,0.6,13367
